,action,left,light,next_waypoint,oncoming,reward,right
535,None,None,green,left,None,1.0,None
536,left,None,green,left,None,2.0,None
537,None,None,green,forward,None,1.0,None
538,left,None,green,forward,None,0.5,None
539,forward,None,red,right,None,-1.0,None
540,forward,None,green,right,None,0.5,None
541,left,None,red,right,None,-1.0,None
542,left,None,green,right,None,0.5,None
543,left,None,green,right,None,0.5,None
544,left,None,red,left,None,-1.0,None
545,forward,None,red,left,None,-1.0,None
546,left,None,green,left,None,2.0,None
547,forward,None,red,forward,None,-1.0,None
548,left,None,red,forward,None,-1.0,None
549,right,None,green,forward,None,0.5,None
550,right,None,red,left,None,0.5,None
551,left,None,green,right,None,0.5,None
552,None,None,green,left,None,1.0,None
553,left,None,green,left,None,2.0,None
554,left,None,red,forward,None,-1.0,None
555,right,None,red,forward,None,0.5,None
556,right,None,green,left,None,0.5,None
557,right,None,green,right,None,2.0,None
558,right,left,red,right,None,2.0,None
559,forward,None,green,forward,None,2.0,None
560,None,None,green,forward,None,1.0,None
561,right,None,green,forward,None,0.5,None
562,right,None,red,left,None,0.5,None
563,forward,None,red,right,None,-1.0,None
564,forward,None,green,right,None,0.5,None
565,None,None,red,right,None,1.0,None
566,forward,None,red,right,None,-1.0,None
567,None,None,green,right,None,1.0,None
568,right,None,green,right,None,2.0,None
569,None,None,red,right,None,1.0,None
570,left,None,red,right,None,-1.0,None
571,right,None,red,right,None,2.0,None
572,left,None,red,forward,None,-1.0,None
573,right,None,red,forward,None,0.5,None
574,left,None,green,left,None,2.0,None
575,left,None,red,forward,None,-1.0,None
576,left,None,red,forward,None,-1.0,None
577,None,None,red,forward,None,1.0,None
578,None,None,green,forward,None,1.0,None
579,forward,None,green,forward,None,2.0,None
580,left,None,green,left,None,2.0,None
581,None,None,green,right,None,1.0,None
582,forward,None,green,right,None,0.5,None
583,None,None,red,right,None,1.0,None
584,left,None,green,right,None,0.5,None
585,None,None,green,right,None,1.0,None
586,right,None,green,right,None,2.0,None
587,right,None,green,right,None,2.0,None
588,None,None,green,forward,None,1.0,None
589,None,None,green,forward,None,1.0,None
590,None,None,green,forward,None,1.0,None
591,left,None,red,forward,None,-1.0,None
592,left,None,red,forward,None,-1.0,None
593,forward,None,red,forward,None,-1.0,None
594,left,None,red,forward,None,-1.0,None
595,forward,None,red,forward,None,-1.0,None
596,right,None,green,forward,None,0.5,None
597,left,None,green,left,None,2.0,None
598,forward,None,green,forward,None,2.0,None
599,left,None,red,forward,None,-1.0,None
600,right,None,red,forward,None,0.5,None
601,None,None,green,left,None,1.0,None
602,forward,None,green,left,None,0.5,None
603,forward,None,green,left,None,0.5,None
604,None,None,red,left,None,1.0,None
605,None,None,red,left,None,1.0,None
606,right,None,green,left,None,0.5,None
607,right,None,green,right,None,2.0,None
608,forward,None,green,right,None,0.5,None
609,None,None,red,right,None,1.0,None
610,right,None,red,right,None,2.0,None
611,forward,None,red,forward,None,-1.0,None
612,forward,None,red,forward,None,-1.0,None
613,left,left,red,forward,None,-1.0,None
614,None,None,red,forward,None,1.0,None
615,right,None,red,forward,None,0.5,None
616,left,forward,green,left,None,2.0,forward
617,left,None,green,forward,None,0.5,None
618,right,None,red,right,None,2.0,None
619,forward,None,red,forward,None,-1.0,None
620,forward,None,red,forward,None,-1.0,None
621,None,None,green,forward,None,1.0,None
622,right,None,green,forward,None,0.5,None
623,None,None,red,left,None,1.0,None
624,right,None,red,left,None,0.5,None
625,left,None,green,right,None,0.5,None
626,left,None,green,left,None,2.0,None
627,right,None,red,forward,None,0.5,None
628,left,None,green,left,None,2.0,None
629,None,None,red,forward,None,1.0,None
630,forward,None,red,forward,None,-1.0,None
631,right,None,red,forward,None,0.5,None
632,right,None,red,left,None,0.5,None
633,forward,None,green,right,None,0.5,None
634,left,None,green,right,None,0.5,None
635,forward,None,red,left,None,-1.0,None
636,right,None,red,left,None,0.5,None
637,forward,None,red,right,None,-1.0,None
638,left,None,red,right,None,-1.0,None
639,None,None,red,right,None,1.0,None
640,left,None,red,right,None,-1.0,None
641,left,None,green,right,None,0.5,None
642,left,None,green,left,None,2.0,None
643,right,None,green,forward,None,0.5,None
644,None,None,red,left,None,1.0,None
645,right,None,green,left,None,0.5,None
646,forward,None,red,right,None,-1.0,None
647,right,None,green,right,None,2.0,None
648,forward,None,red,right,None,-1.0,None
649,None,None,red,right,None,1.0,None
650,right,None,red,right,None,2.0,None
651,right,None,red,forward,None,0.5,None
652,left,None,red,left,None,-1.0,None
653,right,None,green,left,None,0.5,None
654,None,None,green,right,None,1.0,None
655,forward,None,green,right,None,0.5,None
656,None,None,red,right,None,1.0,None
657,left,None,red,right,None,-1.0,None
658,forward,None,red,right,None,-1.0,None
659,forward,None,red,right,None,-1.0,None
660,right,None,red,right,None,2.0,None
661,left,None,green,right,None,0.5,None
662,forward,None,red,right,None,-1.0,None
663,right,None,red,right,None,2.0,None
664,left,None,green,right,None,0.5,None
665,right,None,green,right,None,2.0,None
666,left,None,green,right,None,0.5,None
667,forward,None,green,right,None,0.5,None
668,None,None,red,right,None,1.0,None
669,None,right,green,right,None,1.0,None
670,None,None,green,right,None,1.0,None
671,right,None,green,right,None,2.0,None
672,right,None,green,right,None,2.0,right
673,None,None,red,left,None,1.0,None
674,left,None,green,left,None,2.0,None
675,left,None,red,forward,None,-1.0,None
676,right,None,green,forward,None,0.5,None
677,forward,None,green,forward,None,2.0,None
678,right,None,green,forward,None,0.5,None
679,left,None,green,left,None,2.0,left
680,None,None,red,forward,None,1.0,None
681,right,None,green,forward,None,0.5,None
682,forward,None,green,left,None,0.5,None
683,forward,None,green,left,None,0.5,None
684,right,None,green,left,None,0.5,None
685,None,None,red,right,None,1.0,None
686,right,None,green,right,None,2.0,None
687,right,None,green,right,None,2.0,None
688,forward,None,green,forward,None,2.0,None
689,None,None,red,forward,None,1.0,None
690,left,None,red,forward,None,-1.0,None
691,forward,None,green,forward,None,2.0,None
692,left,None,red,forward,None,-1.0,None
693,right,None,red,forward,None,0.5,None
694,None,None,green,left,None,1.0,None
695,left,None,red,left,None,-1.0,None
696,right,None,red,left,None,0.5,None
697,right,None,green,right,None,2.0,None
698,forward,None,green,right,None,0.5,None
699,forward,None,green,right,None,0.5,None
700,forward,None,green,right,None,0.5,None
701,None,None,red,right,None,1.0,None
702,right,None,red,right,None,2.0,None
703,None,None,green,forward,None,1.0,None
704,left,None,red,forward,None,-1.0,None
705,left,None,red,forward,None,-1.0,None
706,forward,None,red,forward,None,-1.0,None
707,forward,None,green,forward,None,2.0,None
708,None,None,red,forward,None,1.0,None
709,left,None,red,forward,None,-1.0,forward
710,None,None,red,forward,None,1.0,None
711,forward,None,green,forward,None,2.0,None
712,left,None,red,forward,None,-1.0,None
713,None,None,red,forward,None,1.0,None
714,forward,None,red,forward,None,-1.0,None
715,right,None,red,forward,None,0.5,None
716,left,None,red,left,None,-1.0,None
717,left,None,green,left,None,2.0,None
718,forward,None,green,left,None,0.5,None
719,forward,None,red,forward,None,-1.0,None
720,right,None,red,forward,None,0.5,None
721,right,forward,green,left,None,0.5,None
722,forward,None,red,right,None,-1.0,None
723,forward,None,red,right,None,-1.0,None
724,forward,None,red,right,None,-1.0,None
725,left,None,green,right,None,0.5,None
726,right,None,red,right,None,2.0,None
727,None,None,red,right,None,1.0,None
728,None,None,red,right,None,1.0,None
729,right,None,red,right,None,2.0,None
730,right,None,green,right,left,2.0,None
731,left,forward,green,left,None,2.0,None
732,None,None,green,forward,None,1.0,None
733,left,None,green,forward,None,0.5,None
734,forward,None,red,right,None,-1.0,None
735,None,None,red,right,None,1.0,None
736,left,None,red,right,None,-1.0,None
737,None,None,green,right,None,1.0,None
